IntensityIn IntensityOut Luminance
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.525902189669642176e-05 2.539682539682539542e-01 2.103399999999999992e-01
1.022354467078660312e-03 2.698412698412698263e-01 1.484234999999999749e+00
7.202258335240711504e-03 2.857142857142856984e-01 2.733704000000000356e+00
1.324483100633249387e-02 3.015873015873015706e-01 4.330467999999999762e+00
2.098115510795757824e-02 3.174603174603174427e-01 6.225864000000000509e+00
3.016708628976882620e-02 3.333333333333333148e-01 8.392796000000000589e+00
4.066529335469596523e-02 3.492063492063491870e-01 1.036647299999999916e+01
5.021744106202792601e-02 3.650793650793650591e-01 1.226185999999999865e+01
5.940337224383916703e-02 3.809523809523809312e-01 1.422793099999999988e+01
6.892500190737774202e-02 3.968253968253968034e-01 1.680643799999999999e+01
8.142214084077210867e-02 4.126984126984126755e-01 1.984394900000000206e+01
9.613183794918746250e-02 4.285714285714285476e-01 2.148101300000000080e+01
1.040665293354696014e-01 4.444444444444444198e-01 2.486616099999999818e+01
1.204699778744182520e-01 4.603174603174602919e-01 2.705920300000000367e+01
1.310902571145189655e-01 4.761904761904761640e-01 2.987266999999999939e+01
1.447165636682688772e-01 4.920634920634920362e-01 3.357387800000000055e+01
1.626459143968871646e-01 5.079365079365079083e-01 3.629486499999999438e+01
1.758297093156328816e-01 5.238095238095237249e-01 3.959468899999999536e+01
1.918059052414740340e-01 5.396825396825396526e-01 4.269403900000000363e+01
2.068207827878232874e-01 5.555555555555555802e-01 4.566491899999999760e+01
2.212252994583047139e-01 5.714285714285713969e-01 5.033968300000000085e+01
2.438696879530022066e-01 5.873015873015872135e-01 5.279567300000000074e+01
2.557564660105287047e-01 6.031746031746031411e-01 5.739222799999999580e+01
2.780346379797055123e-01 6.190476190476190688e-01 6.177656499999999795e+01
2.992599374380102151e-01 6.349206349206348854e-01 6.560191100000000120e+01
3.177996490424963572e-01 6.507936507936507020e-01 6.941238699999998119e+01
3.362630655374990729e-01 6.666666666666666297e-01 7.524928299999999126e+01
3.645380331120774975e-01 6.825396825396825573e-01 7.903373000000000559e+01
3.828641184100099459e-01 6.984126984126983739e-01 8.364495700000000511e+01
4.052033264667734835e-01 7.142857142857141906e-01 8.987513099999999611e+01
4.353856717784390096e-01 7.301587301587301182e-01 9.513837800000000300e+01
4.608834973678186953e-01 7.460317460317460458e-01 9.877362999999999715e+01
4.784924086366064144e-01 7.619047619047618625e-01 1.038651029999999906e+02
5.031509880216677999e-01 7.777777777777776791e-01 1.099851489999999785e+02
5.327992675669489531e-01 7.936507936507936067e-01 1.150390510000000006e+02
5.572747386892500376e-01 8.095238095238095344e-01 1.193845689999999991e+02
5.783321889066911359e-01 8.253968253968253510e-01 1.261996729999999900e+02
6.113527122911421863e-01 8.412698412698411676e-01 1.304460019999999929e+02
6.319218738078888897e-01 8.571428571428570953e-01 1.381122080000000096e+02
6.690470740825512630e-01 8.730158730158730229e-01 1.432898109999999861e+02
6.941329060807202023e-01 8.888888888888888395e-01 1.491114319999999793e+02
7.223315785458152005e-01 9.047619047619046562e-01 1.557964759999999842e+02
7.547264820325016998e-01 9.206349206349205838e-01 1.630822880000000055e+02
7.900205996795605090e-01 9.365079365079365115e-01 1.695997009999999818e+02
8.215915159838254045e-01 9.523809523809523281e-01 1.752666150000000016e+02
8.490424963759822807e-01 9.682539682539681447e-01 1.833726140000000271e+02
8.883039597161821455e-01 9.841269841269840724e-01 1.951564259999999820e+02
9.453879606317234785e-01 1.000000000000000000e+00 2.064317510000000198e+02
