Input Luminance
0.000000000000000000e+00 0.000000000000000000e+00
1.587301587301587213e-02 0.000000000000000000e+00
3.174603174603174427e-02 0.000000000000000000e+00
4.761904761904761640e-02 0.000000000000000000e+00
6.349206349206348854e-02 0.000000000000000000e+00
7.936507936507936067e-02 0.000000000000000000e+00
9.523809523809523281e-02 0.000000000000000000e+00
1.111111111111111049e-01 0.000000000000000000e+00
1.269841269841269771e-01 0.000000000000000000e+00
1.428571428571428492e-01 0.000000000000000000e+00
1.587301587301587213e-01 0.000000000000000000e+00
1.746031746031745935e-01 0.000000000000000000e+00
1.904761904761904656e-01 0.000000000000000000e+00
2.063492063492063378e-01 0.000000000000000000e+00
2.222222222222222099e-01 0.000000000000000000e+00
2.380952380952380820e-01 0.000000000000000000e+00
2.539682539682539542e-01 2.103399999999999992e-01
2.698412698412698263e-01 1.484234999999999749e+00
2.857142857142856984e-01 2.733704000000000356e+00
3.015873015873015706e-01 4.330467999999999762e+00
3.174603174603174427e-01 6.225864000000000509e+00
3.333333333333333148e-01 8.392796000000000589e+00
3.492063492063491870e-01 1.036647299999999916e+01
3.650793650793650591e-01 1.226185999999999865e+01
3.809523809523809312e-01 1.422793099999999988e+01
3.968253968253968034e-01 1.680643799999999999e+01
4.126984126984126755e-01 1.984394900000000206e+01
4.285714285714285476e-01 2.148101300000000080e+01
4.444444444444444198e-01 2.486616099999999818e+01
4.603174603174602919e-01 2.705920300000000367e+01
4.761904761904761640e-01 2.987266999999999939e+01
4.920634920634920362e-01 3.357387800000000055e+01
5.079365079365079083e-01 3.629486499999999438e+01
5.238095238095237249e-01 3.959468899999999536e+01
5.396825396825396526e-01 4.269403900000000363e+01
5.555555555555555802e-01 4.566491899999999760e+01
5.714285714285713969e-01 5.033968300000000085e+01
5.873015873015872135e-01 5.279567300000000074e+01
6.031746031746031411e-01 5.739222799999999580e+01
6.190476190476190688e-01 6.177656499999999795e+01
6.349206349206348854e-01 6.560191100000000120e+01
6.507936507936507020e-01 6.941238699999998119e+01
6.666666666666666297e-01 7.524928299999999126e+01
6.825396825396825573e-01 7.903373000000000559e+01
6.984126984126983739e-01 8.364495700000000511e+01
7.142857142857141906e-01 8.987513099999999611e+01
7.301587301587301182e-01 9.513837800000000300e+01
7.460317460317460458e-01 9.877362999999999715e+01
7.619047619047618625e-01 1.038651029999999906e+02
7.777777777777776791e-01 1.099851489999999785e+02
7.936507936507936067e-01 1.150390510000000006e+02
8.095238095238095344e-01 1.193845689999999991e+02
8.253968253968253510e-01 1.261996729999999900e+02
8.412698412698411676e-01 1.304460019999999929e+02
8.571428571428570953e-01 1.381122080000000096e+02
8.730158730158730229e-01 1.432898109999999861e+02
8.888888888888888395e-01 1.491114319999999793e+02
9.047619047619046562e-01 1.557964759999999842e+02
9.206349206349205838e-01 1.630822880000000055e+02
9.365079365079365115e-01 1.695997009999999818e+02
9.523809523809523281e-01 1.752666150000000016e+02
9.682539682539681447e-01 1.833726140000000271e+02
9.841269841269840724e-01 1.951564259999999820e+02
1.000000000000000000e+00 2.064317510000000198e+02
